	rLine	depts	url	Id
AMST-111		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516F/AMST/AMST-111-1516F	AMST-111
AMST-112		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415S/AMST/AMST-112-1415S	AMST-112
AMST-201		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415S/AMST/AMST-201-1415S	AMST-201
AMST-205		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516S/AMST/AMST-205-1516S	AMST-205
AMST-210		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516F/AMST/AMST-210-1516F	AMST-210
AMST-215		['american_studies', 'anthropology_sociology']	www.amherst.edu/academiclife/departments/courses/1415S/AMST/AMST-215-1415S	AMST-215
AMST-217		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516S/AMST/AMST-217-1516S	AMST-217
AMST-221		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516S/AMST/AMST-221-1516S	AMST-221
AMST-224		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415S/AMST/AMST-224-1415S	AMST-224
AMST-232		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415F/AMST/AMST-232-1415F	AMST-232
AMST-240		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415F/AMST/AMST-240-1415F	AMST-240
AMST-260		['american_studies', 'anthropology_sociology']	www.amherst.edu/academiclife/departments/courses/1516S/AMST/AMST-260-1516S	AMST-260
AMST-302		['american_studies', 'anthropology_sociology']	www.amherst.edu/academiclife/departments/courses/1516F/AMST/AMST-302-1516F	AMST-302
AMST-305		['american_studies', 'anthropology_sociology']	www.amherst.edu/academiclife/departments/courses/1415S/AMST/AMST-305-1415S	AMST-305
AMST-311		['black_studies', 'american_studies']	www.amherst.edu/academiclife/departments/courses/1516S/AMST/AMST-311-1516S	AMST-311
AMST-317		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516F/AMST/AMST-317-1516F	AMST-317
AMST-322		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415S/AMST/AMST-322-1415S	AMST-322
AMST-326	Requisite: Previous course(s) in Sociology, Anthropology, American Studies, Black Studies or Latin American History. Limited to 18 students. Fall semester.  Professor Schmalzbauer.	['american_studies', 'anthropology_sociology']	www.amherst.edu/academiclife/departments/courses/1516F/AMST/AMST-326-1516F	AMST-326
AMST-336		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415S/AMST/AMST-336-1415S	AMST-336
AMST-372		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516F/AMST/AMST-372-1516F	AMST-372
AMST-374		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516S/AMST/AMST-374-1516S	AMST-374
AMST-468		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516S/AMST/AMST-468-1516S	AMST-468
AMST-490		['american_studies']	www.amherst.edu/academiclife/departments/courses/1516F/AMST/AMST-490-02-1516F	AMST-490
AMST-496		['american_studies']	www.amherst.edu/academiclife/departments/courses/1415F/AMST/AMST-496-1415F	AMST-496
ANTH-112		['anthropology_sociology']	www.amherst.edu/academiclife/departments/courses/1516F/ANTH/ANTH-112-1516F	ANTH-112
ANTH-200		['anthropology_sociology', 'asian']	www.amherst.edu/academiclife/departments/courses/1415S/ANTH/ANTH-200-1415S	ANTH-200
ANTH-205		['anthropology_sociology']	www.amherst.edu/academiclife/departments/courses/1516S/ANTH/ANTH-205-1516S	ANTH-205
