	Source	Target
0	THDA-113	THDA-230
1	LATI-111	LATI-202
2	LJST-110	LJST-357
3	PHYS-111	PHYS-116
4	COSC-112	COSC-261
5	COSC-161	COSC-261
6	MUSI-112	MUSI-221
7	POSC-213	POSC-415
8	POSC-413	POSC-415
9	POSC-480	POSC-415
10	SPAN-199	SPAN-222
11	SPAN-211	SPAN-222
12	SPAN-212	SPAN-222
13	PHYS-111	PHYS-123
14	ARHA-102	ARHA-215
15	ARHA-111	ARHA-215
16	ECON-360	ECON-410
17	ECON-361	ECON-410
18	PSYC-100	PSYC-228
19	PSYC-212	PSYC-228
20	RUSS-202	RUSS-301
21	ARHA-102	ARHA-213
22	ARHA-111	ARHA-213
23	SOCI-112	SOCI-334
24	THDA-240	THDA-340
25	THDA-242	THDA-340
26	THDA-252	THDA-340
27	CHEM-221	CHEM-371
28	GREE-111	GREE-212
29	PSYC-212	PSYC-325
30	PSYC-226	PSYC-325
31	BIOL-161	BIOL-191
32	PSYC-233	PSYC-368
33	PSYC-234	PSYC-368
34	PSYC-100	PSYC-220
35	MATH-350	MATH-415
36	PSYC-100	PSYC-233
37	PSYC-212	PSYC-233
38	FREN-207	FREN-348
39	FREN-208	FREN-348
40	FREN-311	FREN-348
41	MUSI-111	MUSI-223
42	MUSI-112	MUSI-223
43	ENST-120	ENST-330
44	STAT-111	STAT-370
45	STAT-135	STAT-370
46	STAT-360	STAT-370
47	BIOL-191	BIOL-251
48	CHEM-191	CHEM-330
49	CHEM-221	CHEM-330
50	ECON-300	ECON-441
51	ECON-301	ECON-441
52	ECON-330	ECON-441
53	ECON-331	ECON-441
54	ECON-211	ECON-441
55	ECON-121	ECON-441
56	RUSS-301	RUSS-304H
57	ECON-111	ECON-271
58	GERM-210	GERM-312
59	ARHA-200	ARHA-444
60	CHIN-201	CHIN-202
61	CHEM-161	CHEM-351
62	CHEM-121	CHEM-351
63	CHEM-116	CHEM-351
64	CHEM-123	CHEM-351
65	ASTR-121	ASTR-335
66	ASTR-124	ASTR-335
67	ASTR-117	ASTR-335
68	SPAN-199	SPAN-393
69	SPAN-211	SPAN-393
70	SPAN-212	SPAN-393
71	ECON-111	ECON-237
72	ECON-435	ECON-237
73	COSC-111	COSC-112
74	RUSS-201	RUSS-202
75	BIOL-221	BIOL-331
76	BIOL-191	BIOL-331
77	BIOL-231	BIOL-331
78	ECON-111	ECON-265
79	PSYC-100	PSYC-227
80	PSYC-212	PSYC-227
81	COSC-111	COSC-201
82	LATI-215	LATI-441
83	LATI-316	LATI-441
84	COSC-112	COSC-251
85	COSC-201	COSC-251
86	PSYC-100	PSYC-256
87	PSYC-227	PSYC-362
88	SPAN-199	SPAN-318
89	SPAN-211	SPAN-318
90	SPAN-212	SPAN-318
91	GREE-111	GREE-442
92	GREE-318	GREE-442
93	PHYS-121	PHYS-124
94	PHYS-116	PHYS-124
95	PHYS-123	PHYS-124
96	PHIL-218	PHIL-364
97	MATH-360	MATH-365
98	ECON-111	ECON-225
99	JAPA-201	JAPA-202
100	BIOL-181	BIOL-230
101	BIOL-120	BIOL-230
102	GERM-210	GERM-320
103	PSYC-100	PSYC-235
104	SPAN-199	SPAN-363
105	SPAN-211	SPAN-363
106	SPAN-212	SPAN-363
107	THDA-260	THDA-360
108	THDA-261	THDA-360
109	THDA-263	THDA-360
110	MUSI-269	MUSI-387
111	ENGL-200	ENGL-397
112	ASTR-111	ASTR-220
113	ASTR-123	ASTR-220
114	ASTR-116	ASTR-220
115	ECON-300	ECON-473
116	ECON-301	ECON-473
117	ECON-330	ECON-473
118	ECON-331	ECON-473
119	ECON-111	ECON-301
120	ECON-200	ECON-301
121	ECON-290	ECON-301
122	ECON-211	ECON-301
123	SOCI-110	SOCI-316
124	CHEM-151	CHEM-161
125	CHEM-155	CHEM-161
126	CHEM-111	CHEM-161
127	CHEM-121	CHEM-161
128	NEUR-212	NEUR-226
129	NEUR-181	NEUR-226
130	NEUR-191	NEUR-226
131	ECON-300	ECON-498
132	ECON-301	ECON-498
133	ECON-330	ECON-498
134	ECON-331	ECON-498
135	ECON-360	ECON-498
136	ECON-361	ECON-498
137	JAPA-203	JAPA-301
138	STAT-200	STAT-265
139	SPAN-199	SPAN-317
140	SPAN-211	SPAN-317
141	SPAN-212	SPAN-317
142	MUSI-111	MUSI-269
143	MUSI-112	MUSI-269
144	PSYC-220	PSYC-354
145	CHEM-161	CHEM-361
146	CHEM-116	CHEM-361
147	CHEM-123	CHEM-361
148	CHEM-121	CHEM-361
149	CHEM-211	CHEM-361
150	LJST-110	LJST-341
151	PHYS-121	PHYS-227
152	PHYS-117	PHYS-227
153	PHYS-124	PHYS-227
154	FREN-207	FREN-471
155	FREN-311	FREN-471
156	PSYC-100	PSYC-337
157	PSYC-220	PSYC-337
158	BIOL-181	BIOL-321
159	BIOL-191	BIOL-321
160	SPAN-199	SPAN-238
161	SPAN-211	SPAN-238
162	SPAN-212	SPAN-238
163	PSYC-220	PSYC-363
164	ECON-300	ECON-412
165	ECON-301	ECON-412
166	ECON-360	ECON-412
167	ECON-361	ECON-412
168	FREN-207	FREN-472
169	FREN-208	FREN-472
170	FREN-311	FREN-472
171	COSC-112	COSC-281
172	COSC-201	COSC-281
173	GEOL-111	GEOL-121
174	ECON-300	ECON-420
175	ECON-301	ECON-420
176	MUSI-113	MUSI-246
177	PHYS-116	PHYS-117
178	PHYS-123	PHYS-117
179	GEOL-111	GEOL-291
180	SWAG-207	SWAG-342
181	SWAG-208	SWAG-342
182	SWAG-311	SWAG-342
183	PSYC-100	PSYC-234
184	GERM-210	GERM-315
185	BIOL-201	BIOL-434
186	BIOL-211	BIOL-434
187	BIOL-230	BIOL-434
188	BIOL-280	BIOL-434
189	BIOL-320	BIOL-434
190	ENGL-226	ENGL-427
191	ENGL-326	ENGL-427
192	BIOL-181	BIOL-281
193	MATH-111	MATH-135
194	ECON-211	ECON-423
195	ECON-300	ECON-423
196	ECON-301	ECON-423
197	SPAN-199	SPAN-210
198	BIOL-181	BIOL-320
199	BIOL-191	BIOL-320
200	PSYC-220	PSYC-338
201	PSYC-221	PSYC-338
202	ARAB-102	ARAB-201
203	SPAN-199	SPAN-212
204	SPAN-211	SPAN-212
205	JAPA-103	JAPA-210H
206	SPAN-199	SPAN-346
207	SPAN-211	SPAN-346
208	SPAN-212	SPAN-346
209	ECON-111	ECON-245
210	MUSI-112	MUSI-266
211	MUSI-113	MUSI-266
212	BIOL-181	BIOL-271
213	BIOL-191	BIOL-271
214	PSYC-227	PSYC-355
215	PSYC-122	PSYC-355
216	JAPA-301	JAPA-302
217	PSYC-233	PSYC-366
218	PSYC-234	PSYC-366
219	LJST-110	LJST-350
220	SPAN-199	SPAN-345
221	SPAN-211	SPAN-345
222	SPAN-212	SPAN-345
223	JAPA-103	JAPA-209H
224	PSYC-212	PSYC-357
225	PSYC-228	PSYC-357
226	PSYC-100	PSYC-224
227	FREN-205	FREN-207
228	STAT-111	STAT-230
229	STAT-135	STAT-230
230	JAPA-202	JAPA-203
231	GEOL-111	GEOL-401
232	MATH-211	MATH-345
233	SPAN-199	SPAN-320
234	SPAN-211	SPAN-320
235	SPAN-212	SPAN-320
236	BIOL-181	BIOL-201
237	ARHA-222	ARHA-323
238	ARHA-326	ARHA-323
239	ARHA-327	ARHA-323
240	GERM-210	GERM-316
241	PSYC-227	PSYC-332
242	FREN-207	FREN-365
243	FREN-208	FREN-365
244	FREN-311	FREN-365
245	SOCI-112	SOCI-337
246	PSYC-100	PSYC-217
247	PSYC-212	PSYC-217
248	ECON-420	ECON-479
249	BIOL-241	BIOL-470
250	BIOL-251	BIOL-470
251	BIOL-291	BIOL-470
252	BIOL-330	BIOL-470
253	BIOL-331	BIOL-470
254	GREE-111	GREE-441
255	GREE-318	GREE-441
256	GREE-212	GREE-318
257	GREE-215	GREE-318
258	GREE-217	GREE-318
259	JAPA-401	JAPA-402
260	MATH-211	MATH-320
261	MATH-271	MATH-320
262	MATH-272	MATH-320
263	POSC-301	POSC-319
264	POSC-468	POSC-319
265	POSC-222	POSC-319
266	MATH-220	MATH-380
267	MATH-271	MATH-380
268	MATH-272	MATH-380
269	MATH-355	MATH-380
270	MATH-121	MATH-211
271	GEOL-121	GEOL-331
272	MATH-121	MATH-255
273	MUSI-111	MUSI-222
274	MUSI-112	MUSI-222
275	ARHA-214	ARHA-332
276	GEOL-271	GEOL-321
277	ECON-111	ECON-360
278	ECON-111	ECON-360
279	ECON-200	ECON-360
280	ECON-290	ECON-360
281	ECON-111	ECON-330
282	ECON-111	ECON-330
283	ECON-200	ECON-330
284	ECON-290	ECON-330
285	SPAN-199	SPAN-385
286	SPAN-211	SPAN-385
