"level"	"dept"	"X"	"Y"	"Id"
1	"THDA"	5	400	"THDA-113"
1	"LATI"	35	400	"LATI-111"
1	"LJST"	80	400	"LJST-110"
1	"PHYS"	170	400	"PHYS-111"
1	"COSC"	290	400	"COSC-112"
1	"COSC"	245	400	"COSC-161"
1	"MUSI"	355	400	"MUSI-112"
2	"POSC"	475	300	"POSC-213"
4	"POSC"	450	100	"POSC-413"
4	"POSC"	460	100	"POSC-480"
1	"SPAN"	565	400	"SPAN-199"
2	"SPAN"	560	300	"SPAN-211"
2	"SPAN"	570	300	"SPAN-212"
1	"ARHA"	675	400	"ARHA-102"
1	"ARHA"	685	400	"ARHA-111"
3	"ECON"	840	200	"ECON-360"
3	"ECON"	775	200	"ECON-361"
1	"PSYC"	1085	400	"PSYC-100"
2	"PSYC"	1165	300	"PSYC-212"
2	"RUSS"	1205	300	"RUSS-202"
1	"SOCI"	1255	400	"SOCI-112"
2	"THDA"	1275	300	"THDA-240"
2	"THDA"	1285	300	"THDA-242"
2	"THDA"	1295	300	"THDA-252"
2	"CHEM"	1300	300	"CHEM-221"
1	"GREE"	1435	400	"GREE-111"
2	"PSYC"	1190	300	"PSYC-226"
1	"BIOL"	1690	400	"BIOL-161"
2	"PSYC"	1085	300	"PSYC-233"
2	"PSYC"	1075	300	"PSYC-234"
3	"MATH"	1765	200	"MATH-350"
2	"FREN"	1820	300	"FREN-207"
2	"FREN"	1830	300	"FREN-208"
3	"FREN"	1790	200	"FREN-311"
1	"MUSI"	340	400	"MUSI-111"
1	"ENST"	1885	400	"ENST-120"
1	"STAT"	1945	400	"STAT-111"
1	"STAT"	1930	400	"STAT-135"
3	"STAT"	1970	200	"STAT-360"
1	"BIOL"	1590	400	"BIOL-191"
1	"CHEM"	1290	400	"CHEM-191"
3	"ECON"	925	200	"ECON-300"
3	"ECON"	875	200	"ECON-301"
3	"ECON"	900	200	"ECON-330"
3	"ECON"	885	200	"ECON-331"
2	"ECON"	760	300	"ECON-211"
1	"ECON"	910	400	"ECON-121"
3	"RUSS"	1205	200	"RUSS-301"
1	"ECON"	870	400	"ECON-111"
2	"GERM"	1960	300	"GERM-210"
2	"ARHA"	2010	300	"ARHA-200"
2	"CHIN"	2040	300	"CHIN-201"
1	"CHEM"	1335	400	"CHEM-161"
1	"CHEM"	1370	400	"CHEM-121"
1	"CHEM"	1390	400	"CHEM-116"
1	"CHEM"	1405	400	"CHEM-123"
1	"ASTR"	2070	400	"ASTR-121"
1	"ASTR"	2080	400	"ASTR-124"
1	"ASTR"	2095	400	"ASTR-117"
4	"ECON"	740	100	"ECON-435"
1	"COSC"	270	400	"COSC-111"
2	"RUSS"	1215	300	"RUSS-201"
2	"BIOL"	1560	300	"BIOL-221"
2	"BIOL"	1525	300	"BIOL-231"
2	"LATI"	25	300	"LATI-215"
3	"LATI"	30	200	"LATI-316"
2	"COSC"	270	300	"COSC-201"
2	"PSYC"	1140	300	"PSYC-227"
3	"GREE"	1435	200	"GREE-318"
1	"PHYS"	225	400	"PHYS-121"
1	"PHYS"	130	400	"PHYS-116"
1	"PHYS"	160	400	"PHYS-123"
2	"PHIL"	2110	300	"PHIL-218"
3	"MATH"	2120	200	"MATH-360"
2	"JAPA"	2125	300	"JAPA-201"
1	"BIOL"	1700	400	"BIOL-181"
1	"BIOL"	1720	400	"BIOL-120"
2	"THDA"	2175	300	"THDA-260"
2	"THDA"	2185	300	"THDA-261"
2	"THDA"	2195	300	"THDA-263"
2	"MUSI"	340	300	"MUSI-269"
2	"ENGL"	2205	300	"ENGL-200"
1	"ASTR"	2225	400	"ASTR-111"
1	"ASTR"	2235	400	"ASTR-123"
1	"ASTR"	2245	400	"ASTR-116"
2	"ECON"	865	300	"ECON-200"
2	"ECON"	850	300	"ECON-290"
1	"SOCI"	2255	400	"SOCI-110"
1	"CHEM"	1345	400	"CHEM-151"
1	"CHEM"	1300	400	"CHEM-155"
1	"CHEM"	1310	400	"CHEM-111"
2	"NEUR"	2265	300	"NEUR-212"
1	"NEUR"	2270	400	"NEUR-181"
1	"NEUR"	2280	400	"NEUR-191"
2	"JAPA"	2135	300	"JAPA-203"
2	"STAT"	2290	300	"STAT-200"
2	"PSYC"	1105	300	"PSYC-220"
2	"CHEM"	1345	300	"CHEM-211"
1	"PHYS"	195	400	"PHYS-117"
1	"PHYS"	215	400	"PHYS-124"
1	"GEOL"	2330	400	"GEOL-111"
1	"MUSI"	395	400	"MUSI-113"
2	"SWAG"	2405	300	"SWAG-207"
2	"SWAG"	2415	300	"SWAG-208"
3	"SWAG"	2400	200	"SWAG-311"
2	"BIOL"	1670	300	"BIOL-201"
2	"BIOL"	1680	300	"BIOL-211"
2	"BIOL"	1695	300	"BIOL-230"
2	"BIOL"	1705	300	"BIOL-280"
3	"BIOL"	1655	200	"BIOL-320"
2	"ENGL"	2435	300	"ENGL-226"
3	"ENGL"	2425	200	"ENGL-326"
1	"MATH"	1785	400	"MATH-111"
2	"PSYC"	1040	300	"PSYC-221"
1	"ARAB"	2445	400	"ARAB-102"
1	"JAPA"	2145	400	"JAPA-103"
1	"PSYC"	1155	400	"PSYC-122"
3	"JAPA"	2135	200	"JAPA-301"
2	"PSYC"	1055	300	"PSYC-228"
2	"FREN"	1810	300	"FREN-205"
2	"JAPA"	2165	300	"JAPA-202"
2	"MATH"	1820	300	"MATH-211"
2	"ARHA"	650	300	"ARHA-222"
3	"ARHA"	680	200	"ARHA-326"
3	"ARHA"	690	200	"ARHA-327"
4	"ECON"	875	100	"ECON-420"
2	"BIOL"	1505	300	"BIOL-241"
2	"BIOL"	1495	300	"BIOL-251"
2	"BIOL"	1515	300	"BIOL-291"
3	"BIOL"	1510	200	"BIOL-330"
3	"BIOL"	1530	200	"BIOL-331"
2	"GREE"	1425	300	"GREE-212"
2	"GREE"	1435	300	"GREE-215"
2	"GREE"	1445	300	"GREE-217"
4	"JAPA"	2145	100	"JAPA-401"
2	"MATH"	1770	300	"MATH-271"
2	"MATH"	1790	300	"MATH-272"
3	"POSC"	2465	200	"POSC-301"
4	"POSC"	2475	100	"POSC-468"
2	"POSC"	2475	300	"POSC-222"
2	"MATH"	1780	300	"MATH-220"
3	"MATH"	1785	200	"MATH-355"
1	"MATH"	1805	400	"MATH-121"
1	"GEOL"	2385	400	"GEOL-121"
2	"ARHA"	665	300	"ARHA-214"
2	"GEOL"	2485	300	"GEOL-271"
2	"GERM"	1950	300	"GERM-205"
4	"JAPA"	2130	100	"JAPA-411"
3	"JAPA"	2145	200	"JAPA-302"
1	"ANTH"	2495	400	"ANTH-112"
1	"MATH"	2505	400	"MATH-105"
1	"RUSS"	1215	400	"RUSS-102"
2	"FAMS"	2525	300	"FAMS-200"
1	"ECON"	760	400	"ECON-135"
1	"BLST"	2535	400	"BLST-112"
2	"MUSI"	380	300	"MUSI-241"
2	"MUSI"	410	300	"MUSI-242"
1	"GERM"	1960	400	"GERM-101"
2	"BIOL"	1720	300	"BIOL-210"
1	"ARCH"	2545	400	"ARCH-111"
1	"JAPA"	2125	400	"JAPA-102"
3	"CHIN"	2045	200	"CHIN-302"
2	"BIOL"	1630	300	"BIOL-281"
3	"BIOL"	1610	200	"BIOL-321"
2	"PHYS"	220	300	"PHYS-227"
1	"THDA"	2185	400	"THDA-112"
2	"ARHA"	680	300	"ARHA-215"
2	"LATI"	35	300	"LATI-202"
1	"MATH"	1820	400	"MATH-181"
1	"MATH"	1830	400	"MATH-191"
3	"ARAB"	2560	200	"ARAB-302"
1	"PHYS"	120	400	"PHYS-161"
1	"PHYS"	150	400	"PHYS-191"
1	"CHIN"	2030	400	"CHIN-101"
1	"STAT"	1970	400	"STAT-121"
2	"ECON"	740	300	"ECON-235"
2	"ECON"	720	300	"ECON-237"
1	"CHIN"	2040	400	"CHIN-102"
2	"MATH"	1760	300	"MATH-200"
3	"MUSI"	360	200	"MUSI-387"
1	"ENGL"	2215	400	"ENGL-100"
4	"LATI"	20	100	"LATI-441"
1	"FREN"	1820	400	"FREN-101"
2	"ARAB"	2445	300	"ARAB-201"
1	"ARAB"	2455	400	"ARAB-101"
4	"CHIN"	2045	100	"CHIN-401"
1	"GERM"	1950	400	"GERM-102"
4	"JAPA"	2120	100	"JAPA-402"
1	"RUSS"	1205	400	"RUSS-101"
3	"RUSS"	1215	200	"RUSS-302"
1	"CHIN"	2060	400	"CHIN-104"
2	"CHIN"	2050	300	"CHIN-202"
2	"STAT"	1950	300	"STAT-230"
3	"STAT"	1935	200	"STAT-370"
4	"STAT"	1970	100	"STAT-430"
3	"ENGL"	2575	200	"ENGL-338"
2	"MUSI"	440	300	"MUSI-246"
2	"PHYS"	230	300	"PHYS-225"
3	"PHYS"	220	200	"PHYS-343"
2	"ARHA"	690	300	"ARHA-213"
1	"GEOL"	2320	400	"GEOL-151"
3	"GEOL"	2330	200	"GEOL-301"
1	"JAPA"	2585	400	"JAPA-101"
2	"CHEM"	2605	300	"CHEM-231"
1	"FREN"	1810	400	"FREN-103"
2	"BIOL"	1590	300	"BIOL-220"
3	"BIOL"	1570	200	"BIOL-380"
2	"ARHA"	700	300	"ARHA-218"
3	"ARHA"	2615	200	"ARHA-306"
3	"CHIN"	2055	200	"CHIN-301"
2	"THDA"	2635	300	"THDA-270"
2	"ECON"	990	300	"ECON-275"
2	"ENGL"	2645	300	"ENGL-221"
1	"SWAG"	2655	400	"SWAG-100"
2	"ENST"	1900	300	"ENST-250"
2	"THDA"	0	300	"THDA-230"
3	"LJST"	60	200	"LJST-357"
2	"COSC"	240	300	"COSC-261"
2	"MUSI"	420	300	"MUSI-221"
4	"POSC"	470	100	"POSC-415"
2	"SPAN"	510	300	"SPAN-222"
4	"ECON"	710	100	"ECON-410"
3	"SOCI"	1245	200	"SOCI-334"
3	"THDA"	1285	200	"THDA-340"
3	"CHEM"	1300	200	"CHEM-371"
3	"PSYC"	1195	200	"PSYC-325"
3	"PSYC"	1070	200	"PSYC-368"
4	"MATH"	1765	100	"MATH-415"
3	"FREN"	1840	200	"FREN-348"
2	"MUSI"	350	300	"MUSI-223"
3	"ENST"	1880	200	"ENST-330"
3	"CHEM"	1290	200	"CHEM-330"
4	"ECON"	855	100	"ECON-441"
3	"RUSS"	1235	200	"RUSS-304H"
2	"ECON"	955	300	"ECON-271"
3	"GERM"	1930	200	"GERM-312"
4	"ARHA"	2010	100	"ARHA-444"
3	"CHEM"	1390	200	"CHEM-351"
3	"ASTR"	2075	200	"ASTR-335"
3	"SPAN"	530	200	"SPAN-393"
2	"ECON"	885	300	"ECON-265"
2	"COSC"	300	300	"COSC-251"
2	"PSYC"	1030	300	"PSYC-256"
3	"PSYC"	1135	200	"PSYC-362"
3	"SPAN"	570	200	"SPAN-318"
4	"GREE"	1425	100	"GREE-442"
3	"PHIL"	2110	200	"PHIL-364"
3	"MATH"	2130	200	"MATH-365"
2	"ECON"	1000	300	"ECON-225"
3	"GERM"	1940	200	"GERM-320"
2	"PSYC"	1175	300	"PSYC-235"
3	"SPAN"	550	200	"SPAN-363"
3	"THDA"	2180	200	"THDA-360"
3	"ENGL"	2205	200	"ENGL-397"
2	"ASTR"	2235	300	"ASTR-220"
4	"ECON"	930	100	"ECON-473"
3	"SOCI"	2255	200	"SOCI-316"
2	"NEUR"	2275	300	"NEUR-226"
4	"ECON"	910	100	"ECON-498"
2	"STAT"	2300	300	"STAT-265"
3	"SPAN"	540	200	"SPAN-317"
3	"PSYC"	1105	200	"PSYC-354"
3	"CHEM"	1345	200	"CHEM-361"
3	"LJST"	70	200	"LJST-341"
4	"FREN"	1780	100	"FREN-471"
3	"PSYC"	1125	200	"PSYC-337"
2	"SPAN"	520	300	"SPAN-238"
3	"PSYC"	1095	200	"PSYC-363"
4	"ECON"	775	100	"ECON-412"
4	"FREN"	1805	100	"FREN-472"
2	"COSC"	310	300	"COSC-281"
2	"GEOL"	2340	300	"GEOL-291"
3	"SWAG"	2410	200	"SWAG-342"
3	"GERM"	1950	200	"GERM-315"
4	"BIOL"	1685	100	"BIOL-434"
